method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,posterior_mean,posterior_std,ci_lower_95,ci_upper_95,ci_width,p_positive,p_negative,sign_confidence,n_explained_instances,n_train,n_test,sensitivity_type,posterior_samples,lambda_hyb
bayesian_hyb_fpde,blood-transfusion-service-center,10101,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.10422967927863222,0.042361477356580114,0.022400690015034606,0.18302267398452543,0.16062198396949082,0.7,0.3,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.10344742975990233,0.04186478721843139,0.025843671466729935,0.18088444737792336,0.15504077591119345,0.7,0.3,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,6,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0030249114750044224,0.048277509345724195,-0.09402174490676896,0.0892026376163919,0.18322438252316084,0.5,0.5,0.79,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.11952178932527105,0.03712725079915937,0.05038260312738428,0.18961443487653323,0.13923183174914894,0.62,0.38,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.11880614600907922,0.042566035330406475,0.03651334052826369,0.19646204425705893,0.15994870372879524,0.74,0.26,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.11696161716862008,0.04265845101150875,0.03699089964099708,0.1944699323953812,0.1574790327543841,0.74,0.26,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.0024400055466986623,0.046898626927018905,-0.0916596849935224,0.08716726179430231,0.1788269467878247,0.5052,0.4948,0.7908,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.1085773074672081,0.03583311734953775,0.04191703848557112,0.17606631839983877,0.13414927991426762,0.62,0.38,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.11062799276320855,0.04147741661652986,0.02956074774889087,0.186215425422814,0.15665467767392313,0.7,0.3,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.10898879333661883,0.041258317436332,0.03064855721394653,0.18295148304051323,0.1523029258265667,0.7,0.3,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.000148315131690714,0.0505826071390962,-0.0934670797878044,0.09871858811350835,0.19218566790131278,0.5278,0.4722,0.7906,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.11168837918143128,0.03564328098786519,0.0455178136332974,0.17822008169366751,0.13270226806037008,0.62,0.38,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.12766834390295392,0.041260165838528325,0.04746861449603803,0.20311120923249923,0.1556425947364612,0.74,0.26,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.12660114458064015,0.04096851368824101,0.047659776224063054,0.19876302745706517,0.1511032512330021,0.74,0.26,1.0,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,blood-transfusion-service-center,10101,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.0001322897168550241,0.051248359598148656,-0.09785162589950464,0.09803810514860879,0.19588973104811344,0.514,0.486,0.7912,50,673,75,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__checking_status_0<=X<200,7,0.00021036131663446794,0.0067645843566370885,-0.012635409519900869,0.012933488454567084,0.02556889797446795,0.6196,0.3804,0.9992,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__checking_status_<0,8,0.02469272572216579,0.0062567883639088814,0.012652730133266349,0.03665312105195406,0.024000390918687716,0.82,0.18,1.0,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__checking_status_>=200,9,0.0002407146764106988,0.0010071265385884587,-0.0015451306370719135,0.0021909515530704454,0.0037360821901423584,0.41259999999999997,0.5874,0.7594,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__checking_status_no checking,10,0.029988879558535617,0.006726493344634934,0.017423234215807784,0.042798348602162084,0.025375114386354303,0.64,0.36,1.0,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__credit_history_all paid,11,-0.0004353396257081655,0.0008156737977574943,-0.00192035283747024,0.0011998953792596125,0.0031202482167298523,0.7,0.3,0.9992,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__credit_history_critical/other existing credit,12,0.008143502661485957,0.00589769746769928,-0.002918321422089265,0.019037060149468474,0.021955381571557738,0.5,0.5,1.0,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__credit_history_delayed previously,13,-0.00012705107232553005,0.0015479725126303111,-0.0030347428741376524,0.0028266561218265123,0.005861398995964166,0.5292,0.4708,0.624,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__credit_history_existing paid,14,0.0014890011640922357,0.008726990169266173,-0.01490556883801445,0.018124822867952955,0.0330303917059674,0.5429999999999999,0.457,0.8582000000000001,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__credit_history_no credits/all paid,15,0.001969302205403435,0.0008164085026344679,0.00033106121690673173,0.0034456376414946986,0.003114576424587967,0.7981999999999999,0.2018,0.997,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__employment_1<=X<4,31,-0.00013446601455000229,0.007236642736436285,-0.013700888659275911,0.01358992109294166,0.027290809752217572,0.5172,0.4828,0.6676000000000001,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__employment_4<=X<7,32,0.00026850670471093843,0.0029800120506521194,-0.005367763286756993,0.005641955429166123,0.011009718715923116,0.36,0.64,0.9908,50,900,100,full_grid,100,0.25
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,cat__employment_<1,33,0.002304068435458699,0.004805421172978586,-0.0064925079524257474,0.011433044872206189,0.017925552824631933,0.7172,0.2828,0.9956,50,900,100,full_grid,100,0.25
