method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,sensitivity_type,posterior_samples,lambda_hyb,empirical_reference_coverage_95,mean_posterior_std,mean_ci_width,uncertainty_error_correlation,ci_width_error_correlation,mean_spearman_between_seeds,top_k_jaccard_between_seeds,attribution_distance_to_default,top_k_jaccard_to_default,sign_agreement_to_default,runtime_seconds,n_seeds,n_reference_seeds,n_common_features,sign_confidence_threshold,metric_direction,uncertainty_error_pearson,sign_agreement_at_confidence,median_ci_width,mean_abs_error_to_reference,top_k_jaccard_to_reference
bayesian_hyb_fpde,credit-g,31,0,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,2b1422aa2233,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.006385925803194991,0.024821287268552043,0.5309888947646747,0.5309888947646747,0.8255843469063987,0.6867724867724868,0.0024005923944046305,1.0,1.0,3.2709562469999582,10,9,61,0.8,higher_is_better,0.4477334068932112,0.8048780487804879,0.01746978366539844,0.00213288675718096,0.6666666666666666
bayesian_hyb_fpde,credit-g,31,1,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,0a6f6377bc89,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.006395170159615415,0.0248627868825822,0.6619777895293495,0.6601797990481226,0.8255843469063987,0.6867724867724868,0.0026711898166530217,1.0,1.0,3.270431295000094,10,9,61,0.8,higher_is_better,0.6220098652367266,0.8292682926829268,0.016538266418403735,0.0012926821076358823,0.6666666666666666
bayesian_hyb_fpde,credit-g,31,2,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,ee7d28d9d04d,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.0062803358601204885,0.02441264278378993,0.5673717609730301,0.5679005817028027,0.8255843469063987,0.6867724867724868,0.005301521334214119,1.0,0.9836065573770492,3.2754620490000548,10,9,61,0.8,higher_is_better,0.5568256184575605,0.8292682926829268,0.01477707611699988,0.0016904603965519514,0.6666666666666666
bayesian_hyb_fpde,credit-g,31,3,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,254c2d0812c4,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.9836065573770492,0.006385069709951764,0.024787769495995884,0.5227921734531993,0.5215758857747222,0.8255843469063987,0.6867724867724868,0.004151802705598566,1.0,1.0,3.2705841699998928,10,9,61,0.8,higher_is_better,0.4402911471932827,0.8292682926829268,0.015482570833555049,0.0012384494483478794,1.0
bayesian_hyb_fpde,credit-g,31,4,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,c9f4153042f1,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.006336664923721096,0.024607701454762123,0.7154944473823374,0.7149656266525648,0.8255843469063987,0.6867724867724868,0.0038671016726354954,1.0,0.9836065573770492,3.275629098000138,10,9,61,0.8,higher_is_better,0.47385956961338266,0.926829268292683,0.015011648186102431,0.0012919496736413449,0.6666666666666666
bayesian_hyb_fpde,credit-g,31,5,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,5c6b307abb1b,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.006311211237444235,0.024528539644932245,0.6377049180327867,0.6360655737704918,0.8255843469063987,0.6867724867724868,0.0039834479746028205,1.0,0.9836065573770492,3.249662875999661,10,9,61,0.8,higher_is_better,0.6402690064042291,0.7804878048780488,0.015570041976966844,0.0015509662590123417,1.0
bayesian_hyb_fpde,credit-g,31,6,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,5d5aa5690d4b,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.006367848167041345,0.024743896911328007,0.635113696456901,0.6371760973030142,0.8255843469063987,0.6867724867724868,0.0033575632106677333,1.0,1.0,3.273070034999705,10,9,61,0.8,higher_is_better,0.5872735668616144,0.8292682926829268,0.014787111995371027,0.001250354816076481,0.6666666666666666
bayesian_hyb_fpde,credit-g,31,7,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,41a9b1bea621,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.006328665831218752,0.024566605945581108,0.5276573241671074,0.5258064516129032,0.8255843469063987,0.6867724867724868,0.003388555035960925,1.0,1.0,3.2736297070001683,10,9,61,0.8,higher_is_better,0.4511631695775622,0.8292682926829268,0.014773367110578084,0.0010828155802471758,0.6666666666666666
bayesian_hyb_fpde,credit-g,31,8,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,cb5a80426bea,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.9836065573770492,0.006366162836082212,0.024728369888358376,0.6795875198307773,0.6802749867794816,0.8255843469063987,0.6867724867724868,0.003892667720683022,1.0,1.0,3.275434473999894,10,9,61,0.8,higher_is_better,0.41877596819942764,0.9024390243902439,0.015777787750384166,0.0015361260288926167,0.6666666666666666
bayesian_hyb_fpde,credit-g,31,9,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,c2a6dfb554f6,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,0.9836065573770492,0.006371339862361403,0.024761045656241844,0.7037546271813854,0.7022739291380221,0.8255843469063987,0.6867724867724868,0.003580196828551773,1.0,0.9836065573770492,3.2509242300001233,10,9,61,0.8,higher_is_better,0.5157545679027158,0.7317073170731707,0.01626598087142131,0.001650032731325793,1.0
bayesian_hyb_fpde,diabetes,37,0,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,ef16561216c1,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.026570567099855988,0.10319611834093381,-0.2142857142857143,-0.2142857142857143,0.9698412698412697,1.0,0.05149725819219589,1.0,1.0,2.4499378170000625,10,9,8,0.8,higher_is_better,-0.11162123917724114,1.0,0.10096952694161676,0.005167806305442106,1.0
bayesian_hyb_fpde,diabetes,37,1,openml_repeat0_fold0_sample0,leave_one_seed_reference,sensitivity_full,a92ccbb8368a,a92ccbb8368a,27180951904,1,IEEE Access Bayesian-FPDE sensitivity,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,618cca24a2bf,618cca24a2bf,f328ebe9feb1,2026-06-09T03:13:54+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,full_grid,500,0.25,1.0,0.027113538695021387,0.10507467877682714,0.07142857142857144,-0.04761904761904763,0.9698412698412697,1.0,0.05688755264307909,1.0,1.0,2.4493074290000436,10,9,8,0.8,higher_is_better,-0.08604003043678819,1.0,0.10487700403026734,0.009463021375975156,1.0
