dataset,fold,method,n,n_unique_samples,n_rows,random_repetitions_mean,evidence_mean,evidence_std,evidence_median,evidence_n,prototype_margin_mean,prototype_margin_std,prototype_margin_median,prototype_margin_n,selection_margin_mean,selection_margin_std,selection_margin_median,selection_margin_n,evaluation_evidence_mean,evaluation_evidence_std,evaluation_evidence_median,evaluation_evidence_n,evaluation_margin_mean,evaluation_margin_std,evaluation_margin_median,evaluation_margin_n,abs_exactness_residual_mean,abs_exactness_residual_std,abs_exactness_residual_median,abs_exactness_residual_n,deletion_drop_auc_mean,deletion_drop_auc_std,deletion_drop_auc_median,deletion_drop_auc_n,insertion_gain_auc_mean,insertion_gain_auc_std,insertion_gain_auc_median,insertion_gain_auc_n,combined_score_mean,combined_score_std,combined_score_median,combined_score_n,runtime_sec_mean,runtime_sec_std,runtime_sec_median,runtime_sec_n,prototype_margin_positive_rate,n_positive_margin,n_negative_margin,selection_margin_positive_rate,n_selection_positive_margin,n_selection_negative_margin
esc50,3,dynamic_cos,400,400,400,,-0.1643838206915408,0.25199051556949315,-0.11926212439668811,400,-0.1643838206915408,0.25199051556949315,-0.11926212439668811,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-0.1643838206915408,0.25199051556949315,-0.11926212439668811,400,-0.1643838206915408,0.25199051556949315,-0.11926212439668811,400,2.820890764899941e-17,5.161921815217936e-17,1.3877787807814457e-17,400,0.47522047132978423,3.9542723335778365,-0.2560385538396288,400,0.47522047132978423,3.9542723335778365,-0.2560385538396287,400,0.47522047132978423,3.9542723335778365,-0.25603855383962876,400,0.007357811249894439,0.00048123282941982834,0.007233286251030222,400,0.26,104,296,0.26,104,296
esc50,3,dynamic_diff,400,400,400,,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,8.225642389447785e-14,1.3447114357778665e-13,2.842170943040401e-14,400,0.42359328090127346,3.5274837048140224,-0.2797152755709932,400,0.42359328090127346,3.5274837048140224,-0.27971527557099307,400,0.42359328090127346,3.5274837048140224,-0.2797152755709931,400,0.007354869249811599,0.0004627877661418557,0.007246638249980606,400,0.26,104,296,0.26,104,296
esc50,3,dynamic_hyb,400,400,400,,-0.19958118736242508,0.29791737684575764,-0.22418918054512987,400,-0.19958118736242508,0.29791737684575764,-0.22418918054512987,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-0.19958118736242508,0.29791737684575764,-0.22418918054512987,400,-0.19958118736242508,0.29791737684575764,-0.22418918054512987,400,3.553797880972986e-17,4.2339352769036014e-17,2.7755575615628914e-17,400,0.47085503687699204,3.930706368431929,-0.2598378787310702,400,0.4708550368769921,3.93070636843193,-0.2598378787310703,400,0.4708550368769921,3.930706368431929,-0.2598378787310702,400,0.00736864800017429,0.0005904217829065146,0.007250677500469465,400,0.2625,105,295,0.26,104,296
esc50,3,energy_baseline,400,400,400,,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,,,,0,-0.1883313797932995,2.995210638450861,-0.37942197356510543,400,-0.18833137979329956,2.9952106384508617,-0.37942197356510543,400,-0.18833137979329956,2.995210638450861,-0.37942197356510543,400,0.007824512750030408,0.0006253743304141079,0.007691250000789296,400,0.26,104,296,0.26,104,296
esc50,3,random_baseline,400,400,2000,5.0,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,-587.72903360469,1058.096441832945,-439.9174197227561,400,,,,0,-0.19104498474130627,0.49094474028384505,-0.49459174838848197,400,-0.19104498474130627,0.49094474028384505,-0.494591748388482,400,-0.19104498474130627,0.49094474028384505,-0.494591748388482,400,0.00784028425006909,0.0004311187617824932,0.007763269998395116,400,0.26,104,296,0.26,104,296
esc50,4,dynamic_cos,400,400,400,,-0.1412755572482121,0.23995750802013927,-0.10098888483687206,400,-0.1412755572482121,0.23995750802013927,-0.10098888483687206,400,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,-0.1412755572482121,0.23995750802013927,-0.10098888483687206,400,-0.1412755572482121,0.23995750802013927,-0.10098888483687206,400,2.393200112908722e-17,3.777570843250648e-17,1.3877787807814457e-17,400,0.5407080962638676,3.27342562122483,-0.2254857057523444,400,0.5407080962638677,3.2734256212248307,-0.2254857057523444,400,0.5407080962638676,3.2734256212248303,-0.2254857057523444,400,0.007595250750127889,0.0005676545938446149,0.007454006500283867,400,0.3125,125,275,0.2925,117,283
esc50,4,dynamic_diff,400,400,400,,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,9.367173703367371e-14,1.5660825668078998e-13,2.842170943040401e-14,400,0.4741200696186864,3.142307713255191,-0.23998583705581752,400,0.47412006961868663,3.1423077132551938,-0.23998583705581744,400,0.4741200696186866,3.142307713255192,-0.2399858370558175,400,0.007599210500065965,0.0005742962676941021,0.0074918467496536325,400,0.2925,117,283,0.2925,117,283
esc50,4,dynamic_hyb,400,400,400,,-0.157687898606408,0.30664770573957956,-0.19573155787744131,400,-0.157687898606408,0.30664770573957956,-0.19573155787744131,400,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,-0.157687898606408,0.30664770573957956,-0.19573155787744131,400,-0.157687898606408,0.30664770573957956,-0.19573155787744131,400,3.333487999523932e-17,4.251276424053029e-17,2.2985086056692694e-17,400,0.5362972177149193,3.2856512552708956,-0.2223394973512771,400,0.5362972177149196,3.285651255270897,-0.22233949735127706,400,0.5362972177149194,3.285651255270896,-0.22233949735127706,400,0.007588504250034021,0.0005573576067907495,0.007458445750089595,400,0.305,122,278,0.2925,117,283
esc50,4,energy_baseline,400,400,400,,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,-496.4628695773605,1008.1168344923341,-378.0832474509238,400,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,,,,0,0.1325171285525073,3.415819153041672,-0.41201212485622396,400,0.13251712855250747,3.4158191530416744,-0.41201212485622385,400,0.1325171285525074,3.4158191530416735,-0.41201212485622385,400,0.00809588275023998,0.0005654017955992883,0.007971850001922576,400,0.2925,117,283,0.2925,117,283
esc50,4,random_baseline,400,400,2000,5.0,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,-496.4628695773604,1008.1168344923341,-378.0832474509238,400,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,-496.4628695773605,1008.1168344923342,-378.08324745092386,400,,,,0,-0.21021224073283232,0.4854583555074192,-0.49616872961350816,400,-0.21021224073283218,0.48545835550741856,-0.4961687296135081,400,-0.21021224073283226,0.4854583555074189,-0.49616872961350816,400,0.008080943099892466,0.0004951102594538973,0.008007889998407337,400,0.2925,117,283,0.2925,117,283
esc50,5,dynamic_cos,400,400,400,,-0.16087064095498863,0.24241276766485947,-0.1080492972667942,400,-0.16087064095498863,0.24241276766485947,-0.1080492972667942,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-0.16087064095498863,0.24241276766485947,-0.1080492972667942,400,-0.16087064095498863,0.24241276766485947,-0.1080492972667942,400,2.764065018534545e-17,5.0755293558308175e-17,1.0408340855860843e-17,400,0.6143165111672112,6.580580694378287,-0.23926452116547,400,0.6143165111672113,6.5805806943782885,-0.23926452116546995,400,0.6143165111672113,6.5805806943782885,-0.23926452116546998,400,0.007602569749924442,0.0007137544311843917,0.00733979750155413,400,0.28,112,288,0.25,100,300
esc50,5,dynamic_diff,400,400,400,,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,8.995915123932718e-14,1.3688445702867457e-13,2.842170943040401e-14,400,0.5567608989363221,6.25110807952971,-0.24419935715231625,400,0.5567608989363221,6.25110807952971,-0.24419935715231625,400,0.5567608989363221,6.25110807952971,-0.24419935715231625,400,0.007613161000117543,0.0006349792403482709,0.0073740062487559046,400,0.25,100,300,0.25,100,300
esc50,5,dynamic_hyb,400,400,400,,-0.1853816546882665,0.281756664114907,-0.15690177269860195,400,-0.1853816546882665,0.281756664114907,-0.15690177269860195,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-0.1853816546882665,0.281756664114907,-0.15690177269860195,400,-0.1853816546882665,0.281756664114907,-0.15690177269860195,400,3.240300822798803e-17,4.341808882397037e-17,1.3877787807814457e-17,400,0.6143165111672112,6.580580694378287,-0.23926452116547,400,0.6143165111672113,6.5805806943782885,-0.23926452116546995,400,0.6143165111672113,6.5805806943782885,-0.23926452116546998,400,0.007604861750023701,0.0006385416814585662,0.0073332627487070565,400,0.28,112,288,0.25,100,300
esc50,5,energy_baseline,400,400,400,,-610.2826799965396,980.226943296327,-376.5023769303591,400,-610.2826799965396,980.226943296327,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.226943296327,-376.5023769303591,400,-610.2826799965396,980.226943296327,-376.5023769303591,400,,,,0,0.1949962600074213,5.230216158643458,-0.4010359113948367,400,0.1949962600074213,5.230216158643458,-0.4010359113948366,400,0.1949962600074213,5.230216158643458,-0.40103591139483663,400,0.008084618499869975,0.0006240318537348715,0.007837599998310907,400,0.25,100,300,0.25,100,300
esc50,5,random_baseline,400,400,2000,5.0,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.226943296327,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,-610.2826799965396,980.2269432963271,-376.5023769303591,400,,,,0,-0.20855996862835272,0.4808706252314538,-0.49710183023699994,400,-0.20855996862835277,0.4808706252314539,-0.49710183023700005,400,-0.20855996862835272,0.48087062523145385,-0.49710183023700005,400,0.008120229100037249,0.0007057628206600913,0.007862240000395104,400,0.25,100,300,0.25,100,300
