method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,attribution,abs_attribution,ci_width,posterior_std,rank_probability_top_k,n_explained_instances
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.700734559763681,0.7638036351637872,0.06691736215740618,0.01722016477168617,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.2522397590570668,0.49204450989320575,0.10415259612595935,0.026689552292786294,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.031082723561114724,0.15340580996116251,0.1124900283703407,0.029100530062942723,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.004395774984341314,0.026247862189829364,0.12341367937389065,0.03167175727647917,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6823469375606187,0.8005953730268172,0.06387765944013489,0.017682357308658626,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.22074349169398716,0.4525419601676594,0.08505591744282186,0.02380139281506315,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.016447674886617115,0.13086819831903782,0.08662279201247414,0.024039249251942764,1.0,50
bootstrap_fpde,banknote-authentication,10093,0,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.004939521275394377,0.028931474076423287,0.12371703089937097,0.03485288527919085,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.7564203806711342,0.8331078875967193,0.06624156828969713,0.01829299457849232,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.30689197820318526,0.551300146140392,0.10580090575812806,0.02923946750475985,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.06879441311004632,0.17650043808794344,0.11702405649540702,0.032144674306808375,1.0,50
