method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,train_fraction,training_size,mean_posterior_std,mean_ci_width,median_ci_width,mean_sign_confidence,attribution_distance_to_full_train,top_k_jaccard_to_full_train,n_features,n_explained_instances,metric_direction,uncertainty_decrease_slope,uncertainty_decrease_rate
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,4a47288ec68d,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.1,123,0.0820370123860272,0.3196578627569883,0.34361211681078246,0.92925,0.051561295096016514,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2182081619208003,0.2182081619208003
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.25,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,ee93d9d12ff2,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.25,308,0.05423242377232186,0.2103596809825493,0.23162896894551194,0.93783,0.029734718247051137,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2182081619208003,0.2182081619208003
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.5,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,4ac13fa684d5,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.5,616,0.03816698098740318,0.14822111692435502,0.1634913298125896,0.9935,0.01363788662864174,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2182081619208003,0.2182081619208003
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.75,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,681afbe6a420,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.75,926,0.031052068199756977,0.1206511345641419,0.13434971481740204,0.97468,0.0038745599670587686,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2182081619208003,0.2182081619208003
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,213a9fa83d6e,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,1.0,1234,0.02679668184650306,0.1040898485586904,0.11443573006054186,0.9498,0.0,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.2182081619208003,0.2182081619208003
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,61af50b4cb4c,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.1,123,0.08067760912542311,0.29014369861946054,0.31268757539655784,0.9318,0.0524051642543049,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.19799593200119583,0.19799593200119583
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.25,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,295a423e7cb8,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.25,308,0.052824647953390036,0.19017768878772925,0.20740286279314418,0.9369000000000001,0.03233851814052669,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.19799593200119583,0.19799593200119583
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.5,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,51142bac0018,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.5,616,0.03773876290152887,0.13904918096433483,0.15368331985278164,0.9932000000000001,0.013181278027518574,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.19799593200119583,0.19799593200119583
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_0.75,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,8a5051fbc304,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,0.75,926,0.030164139692548553,0.11001416228222427,0.12114268228480488,0.974,0.004135828059424809,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.19799593200119583,0.19799593200119583
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,train_fraction_1,ieee_full,da0454e88838,da0454e88838,27180949281,1,IEEE Access Bayesian-FPDE experiments,refs/heads/main,a4b1906abee769cab2e501f7d241de34d65e5696,36d6fb7e69fd,36d6fb7e69fd,6238528be972,2026-06-09T04:02:15+00:00,a4b1906abee769cab2e501f7d241de34d65e5696,ok,,1.0,1234,0.02616434619077053,0.09407129985541274,0.10366930836272865,0.9472,0.0,1.0,4,50,lower_is_better_for_uncertainty_widths,-0.19799593200119583,0.19799593200119583
