method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,train_fraction,training_size,feature,feature_index,posterior_mean,posterior_std,ci_width,sign_confidence,n_explained_instances
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V1,0,0.7373397755281688,0.039161417705197786,0.15224946825200725,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V2,1,0.2828683970087361,0.060984800062164585,0.237426192560221,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V3,2,0.04627304475759294,0.06887764910632375,0.26546479802251943,0.9543599999999999,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V4,3,0.017694656259718805,0.06994053157692397,0.2739136015891787,0.96816,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V1,0,0.7356523889367146,0.027260806500579587,0.1058886831734053,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V2,1,0.3378169434385011,0.04228770484977685,0.16467349859902353,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V3,2,0.08127667978812358,0.04719902286649098,0.18210347827813705,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V4,3,0.0015635811908921821,0.047642224057092404,0.18719822062282435,0.58924,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V1,0,0.7430623332048895,0.02223591516214518,0.08626520897125906,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V2,1,0.3222345333817985,0.03457983915943437,0.1346580568995439,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V3,2,0.07812584738780778,0.03881431370339131,0.149819524643973,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V4,3,0.002522392494064552,0.039439189372421087,0.1552801932152959,0.67548,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V1,0,0.7554262162157684,0.018969193502099767,0.07360711656909805,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V2,1,0.3065200411095024,0.029979125051667176,0.1166813168487253,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V3,2,0.06936776784271792,0.03337898590116481,0.12880910068804444,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V4,3,0.003911853286821913,0.033514430771629945,0.13185847127079944,0.8003199999999999,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V1,0,0.7202609826932798,0.05421216347438354,0.2000630806663585,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V2,1,0.3402022646410534,0.08767998278445088,0.3182294975263175,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V3,2,0.09279976748221493,0.10388810619876289,0.3876426888375569,0.9523999999999999,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V4,3,-0.0047654325512377395,0.0982895425025222,0.3539550664458273,0.7392,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V1,0,0.7397136958505619,0.03716971748599745,0.13596807477188583,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V2,1,0.28483444679920233,0.06356310980481733,0.23009638792827974,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V3,2,0.04728708094204506,0.0697341375138094,0.2575982037626972,0.9512,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V4,3,0.019523146016693308,0.07273167100406062,0.2639243824746589,0.9588,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V1,0,0.7376530608699037,0.02708473066588297,0.0994480280006576,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V2,1,0.3382480924190619,0.042055777800446864,0.15067386861527995,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V3,2,0.08056317979143522,0.046633047549042336,0.1668608447697959,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V4,3,0.00199832933997937,0.04775780613293021,0.17202970303207654,0.588,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V1,0,0.7452049105691365,0.022586533143480317,0.08110485451154306,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V2,1,0.32205319805002636,0.03386192997334929,0.12474975497431043,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V3,2,0.07859767211793642,0.03781474361564491,0.13707186360384477,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V4,3,0.0023379836009150778,0.03991322456286787,0.1442789873471051,0.682,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V1,0,0.7564203806711342,0.01829299457849232,0.06624156828969714,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V2,1,0.30689197820318526,0.02923946750475985,0.10580090575812803,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V3,2,0.06879441311004632,0.032144674306808375,0.11702405649540702,1.0,50
bootstrap_fpde,banknote-authentication,10093,1,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V4,3,0.0031462454478008305,0.03305123021344648,0.11627638032888125,0.7888,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V1,0,0.8069518126528975,0.05615174573919427,0.21745734999005253,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V2,1,0.24542708284021242,0.09586944505303911,0.37394986741633574,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V3,2,0.022684290856762015,0.08546428853289494,0.33364151364440303,0.84164,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V4,3,-0.0038792880610989517,0.09066257021898051,0.3535827199771619,0.87536,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V1,0,0.7762772853573296,0.03682998433667504,0.14249396054265284,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V2,1,0.36789891967154154,0.0601021785624217,0.23367523174160304,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V3,2,0.07597210405725073,0.06121942064804891,0.2356868254965206,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V4,3,-0.0008533219250835244,0.058778111542141805,0.2295827061494208,0.7513200000000001,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V1,0,0.7480129995808504,0.025463950753735243,0.09836505323719137,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V2,1,0.3026551273439303,0.04266048906552683,0.1660833011448711,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V3,2,0.03223820736230424,0.04173305977552724,0.1608993584803081,0.9984000000000001,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V4,3,-0.0032593201670330957,0.04281042435482341,0.16753675483504943,0.9756,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V1,0,0.7529879507319548,0.020438543151690976,0.07882709215973038,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V2,1,0.32206926289335086,0.03432097475636948,0.13380733325693517,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V3,2,0.040173372829129764,0.03499365670976841,0.13507801646203313,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V4,3,-0.0013745261800122415,0.03445509818119905,0.13489209637786892,0.89872,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V1,0,0.7484422648452731,0.017908395193848726,0.06907978102746394,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V2,1,0.32815575661624047,0.02930892916645387,0.11423059770962173,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V3,2,0.04158747644324368,0.029714640255612223,0.114640862411462,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V4,3,-0.0007909983719893468,0.030254762770097424,0.11840815308621395,0.7992,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V1,0,0.8155560419439384,0.05495137702413559,0.20174059931735808,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V2,1,0.24998187175882744,0.09378823003980977,0.3334590443673685,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V3,2,0.02537863351600635,0.08385358005709376,0.30724322518495095,0.8408,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V4,3,-0.0039569638191370785,0.09011724938065337,0.3181319256081647,0.8864,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V1,0,0.7808220720564287,0.03514928433083936,0.12882312686451577,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V2,1,0.3713592864372036,0.05714078435339861,0.20552088724082412,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V3,2,0.07918538585341042,0.060512675699377544,0.21708190270011285,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V4,3,-0.0025134612814055744,0.05849584742994463,0.20928483834546427,0.7476,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V1,0,0.7494553206557701,0.024709605997975476,0.08936651861700241,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V2,1,0.30467515804121653,0.042913492432814754,0.15946356553477367,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V3,2,0.03254180376609193,0.04100714377690639,0.15138652454411644,0.9976,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.5,616,num__V4,3,-0.003962498255586899,0.042324809398418844,0.15598011516144683,0.9752,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V1,0,0.7535473537586662,0.019963310794256835,0.07317483774488545,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V2,1,0.32301932765291325,0.03275498433005203,0.11930791395354376,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V3,2,0.039179803167920774,0.03395836475052974,0.12297745061606598,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.75,926,num__V4,3,-0.0019791991289467158,0.033979898895355604,0.12459644681440193,0.8959999999999999,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V1,0,0.7488390723362757,0.01733802650434862,0.0631322687120727,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V2,1,0.3289649602961427,0.02853912293265973,0.10325447214542909,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V3,2,0.04230251928933747,0.028825375206671954,0.10408414458002822,1.0,50
bootstrap_fpde,banknote-authentication,10093,2,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,1.0,1234,num__V4,3,-0.0009065959903707241,0.029954860119401808,0.10581431398412096,0.7888,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V1,0,0.7388872802454256,0.05558266024712454,0.2149857754857753,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V2,1,0.3152571649449419,0.10555542885159118,0.41204275878962343,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V3,2,0.09072127465950856,0.10996253400266934,0.42632389445827323,0.9821599999999999,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.1,123,num__V4,3,-0.0013151543375182087,0.09954181412610245,0.38679571509073407,0.958,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V1,0,0.5856516223212378,0.03532468277117585,0.13811706228675547,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V2,1,0.371025698849264,0.05934897281302418,0.2308033042704662,1.0,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V3,2,0.05890240055221473,0.06263745889349766,0.24259368175227392,0.9968,50
bayesian_hyb_fpde,banknote-authentication,10093,3,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,0.25,308,num__V4,3,-0.0038132288182696587,0.07321183322289913,0.2859681501417767,0.69188,50
