method,dataset_name,task_id,seed,fold,split_id,mode,config_hash,experiment_config_hash,workflow_run_id,workflow_run_attempt,workflow_name,workflow_ref,workflow_sha,runner_invocation_hash,run_config_hash,job_config_hash,timestamp,git_commit,status,error_message,feature,feature_index,posterior_mean,posterior_std,ci_lower_95,ci_upper_95,ci_width,p_positive,p_negative,sign_confidence,n_explained_instances,n_train,n_test
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.31817248247335767,0.02759650641350965,0.26441866233839306,0.3716640141629795,0.10724535182458644,0.72,0.28,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.014515062203958888,0.026802617717502506,-0.037837598856162086,0.06550801968349494,0.10334561853965703,0.48,0.52,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,7,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,-0.005791108562650516,0.03728997243724798,-0.07921449647940236,0.06677176617420753,0.14598626265360987,0.44048000000000004,0.55952,0.79888,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.6633136882411769,0.01673223653575967,0.6304600467000302,0.695838306963105,0.06537826026307482,0.84,0.16,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.21985599692511276,0.02370401811750673,0.17368942407441185,0.2658823513217444,0.09219292724733258,0.62,0.38,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.011731404328152268,0.030624926492749373,-0.04794785443604865,0.07105983858018053,0.11900769301622917,0.44,0.56,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,8,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V4,3,0.003476747075230606,0.036127621252142895,-0.06684208636345217,0.07388791583991203,0.1407300022033642,0.5012,0.4988,0.79864,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V1,0,0.700734559763681,0.01722016477168617,0.6670897806734546,0.7340071428308608,0.06691736215740618,0.9,0.1,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V2,1,0.2522397590570668,0.026689552292786294,0.20015650801115847,0.30430910413711776,0.10415259612595935,0.64,0.36,1.0,50,1234,138
bayesian_hyb_fpde,banknote-authentication,10093,9,openml_repeat0_fold0_sample0,,,,,,,,,,,,,,,,,num__V3,2,0.031082723561114724,0.029100530062942723,-0.024921502753756118,0.08756852561658458,0.1124900283703407,0.48,0.52,1.0,50,1234,138
