dataset_name,task_id,method,train_fraction,n_rows,mean_training_size,mean_mean_posterior_std,mean_mean_ci_width,mean_median_ci_width,mean_mean_sign_confidence,mean_attribution_distance_to_full_train,mean_top_k_jaccard_to_full_train,mean_n_features,mean_n_explained_instances,mean_uncertainty_decrease_slope,mean_uncertainty_decrease_rate,n_seeds,status_ok,status_skipped,status_error,metric_direction
blood-transfusion-service-center,10101,bootstrap_fpde,0.75,10,505.0,0.0514095350543631,0.18588052593805643,0.1722335167433141,0.93198,0.01221742468237775,1.0,4.0,50.0,-0.2909076015659529,0.2909076015659529,10,10,0,0,mixed
blood-transfusion-service-center,10101,bootstrap_fpde,1.0,10,673.0,0.04430966574177756,0.16054513777641027,0.14696547236027127,0.9457599999999999,0.0,1.0,4.0,50.0,-0.2909076015659529,0.2909076015659529,10,10,0,0,mixed
credit-g,31,bayesian_hyb_fpde,0.1,10,90.0,0.028150787434297407,0.10971099190314904,0.07535318097138663,0.7351115409836064,0.01615171059085204,0.4523809523809524,61.0,50.0,-0.07480412863610258,0.07480412863610258,10,10,0,0,mixed
credit-g,31,bayesian_hyb_fpde,0.25,10,226.0,0.01760689135860882,0.06842426126961135,0.04445529712120671,0.7935998032786886,0.0074393543965321305,0.5357142857142857,61.0,50.0,-0.07480412863610258,0.07480412863610258,10,10,0,0,mixed
credit-g,31,bayesian_hyb_fpde,0.5,10,450.0,0.01251016216869289,0.0486116239117785,0.03072321227250612,0.839152131147541,0.00550689871003296,0.6619047619047619,61.0,50.0,-0.07480412863610258,0.07480412863610258,10,10,0,0,mixed
credit-g,31,bayesian_hyb_fpde,0.75,10,674.0,0.010243353713405309,0.03982635033877587,0.02505758131810517,0.8594519344262295,0.0036966770766033697,0.8666666666666666,61.0,50.0,-0.07480412863610258,0.07480412863610258,10,10,0,0,mixed
credit-g,31,bayesian_hyb_fpde,1.0,10,900.0,0.00884351444866584,0.03436403849873356,0.02141781999715328,0.8680460983606558,0.0,1.0,61.0,50.0,-0.07480412863610258,0.07480412863610258,10,10,0,0,mixed
credit-g,31,bootstrap_fpde,0.1,10,90.0,0.02464093288571144,0.08928558351503264,0.05447411870708839,0.7862590163934426,0.01674379209263302,0.4523809523809524,61.0,50.0,-0.058538525599914085,0.058538525599914085,10,10,0,0,mixed
credit-g,31,bootstrap_fpde,0.25,10,226.0,0.01643087887980707,0.05960535330505429,0.03667972372882,0.8286472131147541,0.00746963717165274,0.5535714285714286,61.0,50.0,-0.058538525599914085,0.058538525599914085,10,10,0,0,mixed
credit-g,31,bootstrap_fpde,0.5,10,450.0,0.012003439698872551,0.04351044151918028,0.02686875694756526,0.8611527868852459,0.00559293239863945,0.6619047619047619,61.0,50.0,-0.058538525599914085,0.058538525599914085,10,10,0,0,mixed
credit-g,31,bootstrap_fpde,0.75,10,674.0,0.00992538755603474,0.036003056124786784,0.022276615536832238,0.874768524590164,0.0036970643027319098,0.8428571428571429,61.0,50.0,-0.058538525599914085,0.058538525599914085,10,10,0,0,mixed
credit-g,31,bootstrap_fpde,1.0,10,900.0,0.00861064828335896,0.03121221301168086,0.01909631093050026,0.8776839344262296,0.0,1.0,61.0,50.0,-0.058538525599914085,0.058538525599914085,10,10,0,0,mixed
diabetes,37,bayesian_hyb_fpde,0.1,10,69.0,0.11764882389799587,0.45840545698039337,0.4580624514609199,0.8516805,0.07337382933950548,0.7761904761904762,8.0,50.0,-0.311133621784493,0.311133621784493,10,10,0,0,mixed
diabetes,37,bayesian_hyb_fpde,0.25,10,172.0,0.07569868285745189,0.2944824863515977,0.29575428501274914,0.907742,0.042886539564105194,0.8,8.0,50.0,-0.311133621784493,0.311133621784493,10,10,0,0,mixed
diabetes,37,bayesian_hyb_fpde,0.5,10,345.0,0.05405830292694379,0.21010879764228357,0.21356148693320898,0.9558275,0.02879014855852448,0.9333333333333333,8.0,50.0,-0.311133621784493,0.311133621784493,10,10,0,0,mixed
diabetes,37,bayesian_hyb_fpde,0.75,10,519.0,0.04377774862492034,0.17020553472638458,0.17318356088923653,0.9834949999999999,0.01803827657088933,0.9666666666666666,8.0,50.0,-0.311133621784493,0.311133621784493,10,10,0,0,mixed
