subject_area,subject_subarea,task_id,dataset_name_mapped,method_display,combined_mean,combined_sd,lambda_mean,lambda_sd
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,18,mfeat-morphological,LIME,0.552730803504789,0.030760548202101213,0.4,0.47842333648024415
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,18,mfeat-morphological,SHAP,0.6588880415610406,0.016078503326832624,0.4,0.47842333648024415
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,22,mfeat-zernike,AIME,0.7530271830315824,0.008114530868647593,0.09,0.1523883926754995
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,22,mfeat-zernike,Hyb-FPDE,0.6968760906881608,0.012690333948026752,0.09,0.1523883926754995
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,22,mfeat-zernike,LIME,0.4955701812973879,0.016175763349923645,0.09,0.1523883926754995
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,22,mfeat-zernike,SHAP,0.808594711229078,0.0054429131160249515,0.09,0.1523883926754995
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,53,vehicle,AIME,0.6401325439752121,0.0098867322375248,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,53,vehicle,Hyb-FPDE,0.6609229874535483,0.015180812949098834,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,53,vehicle,LIME,0.462847225523719,0.0451318509772284,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,53,vehicle,SHAP,0.758333010750684,0.01571789074514678,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,125922,texture,AIME,0.7779287319007897,0.009904991394591549,0.030000000000000006,0.0483045891539648
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,125922,texture,Hyb-FPDE,0.7592558613745628,0.01120821960599236,0.030000000000000006,0.0483045891539648
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,125922,texture,LIME,0.4961082858918798,0.012043299268110078,0.030000000000000006,0.0483045891539648
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,125922,texture,SHAP,0.8900575864849438,0.007342703748512335,0.030000000000000006,0.0483045891539648
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146822,segment,AIME,0.726278231750907,0.008578797498915249,0.5,0.44472213547087774
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146822,segment,Hyb-FPDE,0.6400582446744407,0.011573558480553648,0.5,0.44472213547087774
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146822,segment,LIME,0.48813718602280376,0.01226319971536718,0.5,0.44472213547087774
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146822,segment,SHAP,0.7909281761429883,0.009667341100285613,0.5,0.44472213547087774
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146824,mfeat-pixel,AIME,0.833420771458511,0.007310512977447092,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146824,mfeat-pixel,Hyb-FPDE,0.7727760000675911,0.010163185560584405,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146824,mfeat-pixel,LIME,0.4031901377082702,0.012724255485152013,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146824,mfeat-pixel,SHAP,0.8887328204113919,0.005274107716705383,0.0,0.0
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146825,Fashion-MNIST,AIME,0.6826469996940789,0.007833725361601217,0.01,0.03162277660168379
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146825,Fashion-MNIST,Hyb-FPDE,0.6645352281795179,0.01007709812066264,0.01,0.03162277660168379
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146825,Fashion-MNIST,LIME,0.27865609243344924,0.0065990641876055986,0.01,0.03162277660168379
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,146825,Fashion-MNIST,SHAP,0.858739302872149,0.008729164288393215,0.01,0.03162277660168379
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,167124,CIFAR_10,AIME,0.3849029734548708,0.008134278196489155,0.11000000000000001,0.22827858224351907
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,167124,CIFAR_10,Hyb-FPDE,0.34587863890718695,0.008726082408158439,0.11000000000000001,0.22827858224351907
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,167124,CIFAR_10,LIME,0.20848464408824877,0.0060814578807631605,0.11000000000000001,0.22827858224351907
Computer Science / Computer Vision,Computer Vision / image descriptors and natural images,167124,CIFAR_10,SHAP,0.5207699074667734,0.009458513554169186,0.11000000000000001,0.22827858224351907
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",6,letter,AIME,0.7810024919081571,0.004579149633643286,0.02,0.04216370213557839
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",6,letter,Hyb-FPDE,0.7086986509679158,0.0113806287662416,0.02,0.04216370213557839
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",6,letter,LIME,0.5252065109623965,0.0212924371469425,0.02,0.04216370213557839
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",6,letter,SHAP,0.8329406495143568,0.004598952868422191,0.02,0.04216370213557839
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",28,optdigits,AIME,0.8874636333733894,0.006535508083097013,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",28,optdigits,Hyb-FPDE,0.8510644378691495,0.009183207981831485,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",28,optdigits,LIME,0.36413043080720786,0.0199732560869462,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",28,optdigits,SHAP,0.9093246225371081,0.006676235822020084,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",32,pendigits,AIME,0.7634896119967176,0.0052516350717061846,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",32,pendigits,Hyb-FPDE,0.7062477006448791,0.015724565604018956,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",32,pendigits,LIME,0.4759211631023785,0.01461343445212905,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",32,pendigits,SHAP,0.8776857793045935,0.0028892139582474743,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",3573,mnist_784,AIME,0.8262209728732053,0.007101317920008063,0.5,0.5270462766947299
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",3573,mnist_784,Hyb-FPDE,0.759546479460232,0.010968742440040917,0.5,0.5270462766947299
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",3573,mnist_784,LIME,0.31893253847090314,0.005140339193851551,0.5,0.5270462766947299
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",3573,mnist_784,SHAP,0.8848344746968977,0.007029803435483404,0.5,0.5270462766947299
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",9964,semeion,AIME,0.7764035357982244,0.00976546880944249,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",9964,semeion,Hyb-FPDE,0.7433300195405769,0.013652085513461457,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",9964,semeion,LIME,0.3167471023611052,0.04209898329649601,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",9964,semeion,SHAP,0.8734762158785978,0.010176407600446608,0.0,0.0
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",167121,Devnagari-Script,AIME,0.711134768677865,0.012227307129142448,0.8099999999999999,0.3784471194529325
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",167121,Devnagari-Script,Hyb-FPDE,0.6048801469814458,0.009770500175813544,0.8099999999999999,0.3784471194529325
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",167121,Devnagari-Script,LIME,0.36782973624852394,0.006952416282941958,0.8099999999999999,0.3784471194529325
Computer Science / Computer Vision,"Computer Vision / letters, digits, and scripts",167121,Devnagari-Script,SHAP,0.8239163591035163,0.010492696710815342,0.8099999999999999,0.3784471194529325
Computer Science / Computer Vision,Image-derived authentication,10093,banknote-authentication,AIME,0.6093491931799722,0.006640124282858871,0.76,0.2988868236194653
Computer Science / Computer Vision,Image-derived authentication,10093,banknote-authentication,Hyb-FPDE,0.6120023941755609,0.005269480312559587,0.76,0.2988868236194653
Computer Science / Computer Vision,Image-derived authentication,10093,banknote-authentication,LIME,0.4703982984196566,0.011665664856709718,0.76,0.2988868236194653
Computer Science / Computer Vision,Image-derived authentication,10093,banknote-authentication,SHAP,0.5138057046172547,0.006257873747814006,0.76,0.2988868236194653
Computer Science / Other,NLP / authorship attribution,3549,analcatdata_authorship,AIME,0.7549358549394191,0.012741707823423125,0.0,0.0
Computer Science / Other,NLP / authorship attribution,3549,analcatdata_authorship,Hyb-FPDE,0.7536797046123649,0.015605344312688027,0.0,0.0
Computer Science / Other,NLP / authorship attribution,3549,analcatdata_authorship,LIME,0.3693690528009468,0.03993566739895174,0.0,0.0
Computer Science / Other,NLP / authorship attribution,3549,analcatdata_authorship,SHAP,0.7722260926227145,0.01372255716140009,0.0,0.0
Computer Science / Other,Software engineering quality,3902,pc4,AIME,0.545988486715168,0.00998739901152764,0.67,0.3301514803843836
